generation,rateshifts,jumps,rootstate,jumpvariance
217000,0,2,0.867846,5
218000,0,1,0.915033,5
219000,0,1,0.915033,5
220000,0,1,0.758827,5
221000,1,1,0.863443,5
222000,2,2,1.04145,5
223000,0,2,1.32712,5
224000,1,2,2.77595,5
225000,0,3,1.08101,5
226000,0,2,1.08101,5
227000,1,2,1.08101,5
228000,1,4,1.41267,5
229000,0,2,2.71763,5
230000,0,2,2.43937,5
231000,0,2,2.43937,5
232000,0,2,1.71342,5
233000,0,1,-1.35415,5
234000,0,1,-0.354735,5
235000,0,1,-0.750994,5
236000,0,1,0.748523,5
237000,0,1,0.325471,5
238000,0,1,0.402585,5
239000,0,1,-1.1928,5
240000,0,2,0.432306,5
241000,1,1,0.144643,5
242000,0,1,-0.0153151,5
243000,0,1,-0.671195,5
244000,0,1,-0.128451,5
245000,0,2,-1.36999,5
246000,0,1,-1.19761,5
247000,0,1,-1.12281,5
248000,1,1,1.19021,5
249000,0,2,0.442118,5
250000,1,3,0.137041,5
251000,0,1,1.41463,5
252000,0,2,0.225231,5
253000,0,1,0.589517,5
254000,0,1,0.589517,5
255000,0,1,0.833875,5
256000,0,1,1.61418,5
257000,0,1,1.52378,5
258000,1,1,-0.566146,5
259000,1,2,-0.0504524,5
260000,0,1,1.33319,5
261000,0,1,-0.74476,5
262000,0,1,0.165586,5
263000,0,1,0.768664,5
264000,0,1,0.768664,5
265000,1,1,1.69831,5
266000,0,1,1.69831,5
267000,0,1,1.50736,5
268000,1,1,-0.595522,5
269000,1,2,-0.202907,5
270000,0,2,-0.42502,5
271000,0,1,-0.42502,5
272000,2,1,-1.88074,5
273000,1,1,-0.290401,5
274000,0,1,-0.290401,5
275000,0,1,-1.72156,5
276000,0,1,-1.72156,5
277000,0,2,-1.93068,5
278000,0,1,-1.19333,5
279000,1,2,-0.41447,5
280000,0,1,-0.435997,5
281000,0,2,-0.435997,5
282000,0,1,-2.6254,5
283000,0,1,-1.30876,5
284000,0,1,-0.959936,5
285000,0,1,-1.20107,5
286000,0,1,-0.687682,5
287000,0,1,-0.693844,5
288000,0,2,-0.7107,5
289000,0,1,-1.52501,5
290000,0,1,-1.336,5
291000,0,1,-0.71754,5
292000,1,1,-0.733713,5
293000,1,1,-0.781615,5
294000,0,1,0.03532,5
295000,0,1,-0.697326,5
296000,3,1,-0.480831,5
297000,0,1,0.493456,5
298000,0,2,-0.667058,5
299000,0,1,0.480014,5
300000,0,1,-0.842219,5
301000,0,1,-0.842219,5
302000,1,1,-0.842219,5
303000,0,3,-0.842219,5
304000,1,2,0.00634209,5
305000,0,1,0.922036,5
306000,0,1,1.30833,5
307000,0,1,1.74018,5
308000,0,1,1.74018,5
309000,0,1,1.74018,5
310000,0,1,1.74018,5
311000,0,1,1.74018,5
312000,0,1,2.47274,5
313000,0,1,2.26711,5
314000,0,1,2.86411,5
315000,0,1,2.86411,5
316000,0,1,2.53619,5
317000,0,2,2.91474,5
318000,0,1,1.79498,5
319000,0,2,1.61047,5
320000,1,1,1.72075,5
321000,1,1,0.0574738,5
322000,0,1,0.0574738,5
323000,2,1,0.821779,5
324000,0,1,0.251565,5
325000,1,1,0.251565,5
326000,0,2,0.251565,5
327000,0,2,0.0155354,5
328000,0,1,0.275239,5
329000,0,1,0.275239,5
330000,1,2,0.164036,5
331000,0,3,1.85443,5
332000,0,1,2.04709,5
333000,0,1,2.45917,5
334000,0,1,3.65354,5
335000,0,1,2.04421,5
336000,0,1,-0.574719,5
337000,0,2,0.545698,5
338000,0,2,-0.992575,5
339000,0,2,0.362206,5
340000,0,1,0.16027,5
341000,0,1,0.749641,5
342000,0,1,0.0558995,5
343000,0,1,0.287441,5
344000,0,1,0.287441,5
345000,0,1,-0.295677,5
346000,1,1,-0.567944,5
347000,1,1,0.619557,5
348000,0,1,1.00154,5
349000,1,1,1.00004,5
350000,0,1,1.58939,5
351000,0,1,-0.721268,5
352000,0,1,0.336009,5
353000,0,1,-0.877021,5
354000,0,1,0.811318,5
355000,0,2,0.811318,5
356000,2,1,-0.171827,5
357000,0,2,-0.531722,5
358000,0,1,0.514169,5
359000,0,1,0.514169,5
360000,0,1,0.615539,5
361000,0,1,-0.907962,5
362000,0,1,-0.907962,5
363000,0,1,0.415599,5
364000,0,1,-0.429148,5
365000,0,1,-0.503914,5
366000,0,1,0.0918967,5
367000,1,1,-1.13363,5
368000,0,2,-2.17727,5
369000,0,1,0.40474,5
370000,1,1,0.477185,5
371000,0,1,-1.51953,5
372000,0,2,-0.0965699,5
373000,0,1,-0.74663,5
374000,1,1,-0.765841,5
375000,0,1,-0.25853,5
376000,0,1,0.00260108,5
377000,0,1,-1.33743,5
378000,1,3,-0.645458,5
379000,0,1,-0.593099,5
380000,1,1,-0.838109,5
381000,0,1,-0.617425,5
382000,0,1,-2.29202,5
383000,0,2,-2.5322,5
384000,0,1,-1.62666,5
385000,0,1,-1.72883,5
386000,0,1,-0.938094,5
387000,0,1,0.652521,5
388000,0,1,0.652521,5
389000,0,1,-0.000981285,5
390000,0,1,-0.000981285,5
391000,1,1,-0.000981285,5
392000,0,1,1.16707,5
393000,1,1,-0.160134,5
394000,1,1,0.180564,5
395000,0,1,0.531073,5
396000,0,1,0.195008,5
397000,1,1,0.508145,5
398000,1,1,0.805687,5
399000,0,1,0.805687,5
400000,0,1,1.55696,5
401000,0,1,0.150529,5
402000,0,1,-0.0153572,5
403000,0,2,-1.13845,5
404000,1,2,1.19734,5
405000,0,1,-0.16242,5
406000,0,1,0.952496,5
407000,0,1,2.79094,5
408000,0,1,0.682866,5
409000,0,1,0.682866,5
410000,0,1,-0.234221,5
411000,0,1,-1.74687,5
412000,0,1,-0.0110541,5
413000,0,1,-0.0110541,5
414000,0,1,-0.65061,5
415000,0,1,-0.411502,5
416000,0,1,1.36241,5
417000,0,1,1.98515,5
418000,0,1,0.164401,5
419000,0,1,-0.744987,5
420000,0,1,0.766903,5
421000,0,1,-0.607804,5
422000,0,1,-1.24262,5
423000,0,1,-3.07108,5
424000,0,2,-0.156575,5
425000,0,1,-0.156575,5
426000,0,1,-0.555809,5
427000,0,1,-1.52173,5
428000,0,1,0.558294,5
429000,0,1,0.345733,5
430000,0,1,1.25842,5
431000,0,1,0.741653,5
432000,0,1,0.741653,5
433000,0,1,1.20427,5
434000,0,1,1.52751,5
435000,0,1,2.03582,5
436000,0,1,2.0335,5
437000,1,1,3.12226,5
438000,0,2,1.94447,5
439000,0,1,1.94447,5
440000,0,1,-0.526449,5
441000,0,1,0.332633,5
442000,0,1,0.332633,5
443000,0,1,0.158389,5
444000,0,1,0.560709,5
445000,0,1,0.482274,5
446000,0,1,0.482274,5
447000,0,1,-0.280399,5
448000,0,1,-1.08682,5
449000,0,1,-0.492685,5
450000,0,1,-0.360925,5
451000,0,1,-1.37864,5
452000,0,2,-1.37187,5
453000,0,1,-1.37187,5
454000,1,1,0.403398,5
455000,1,1,0.403398,5
456000,0,1,-0.103655,5
457000,2,1,-0.689222,5
458000,0,1,-0.689222,5
459000,0,1,0.34367,5
460000,0,1,-1.52616,5
461000,0,1,-1.52616,5
462000,1,1,0.403176,5
463000,0,1,0.403176,5
464000,0,1,-0.778639,5
465000,0,1,0.532291,5
466000,0,1,1.30068,5
467000,0,1,0.671706,5
468000,1,1,0.349144,5
469000,0,1,2.14796,5
470000,0,1,-0.616669,5
471000,0,1,0.440114,5
472000,0,1,-0.765499,5
473000,0,2,0.0365402,5
474000,0,1,2.39899,5
475000,0,1,2.34489,5
476000,3,1,0.923525,5
477000,0,1,0.963424,5
478000,0,1,1.48187,5
479000,0,1,1.96593,5
480000,1,1,0.127816,5
481000,0,1,0.127816,5
482000,0,2,-1.03285,5
483000,0,1,-1.89987,5
484000,0,1,1.72876,5
485000,0,1,0.69219,5
486000,2,1,0.52411,5
487000,0,1,1.62963,5
488000,0,1,0.00917666,5
489000,0,1,-0.0712109,5
490000,0,1,0.141069,5
491000,0,1,0.141069,5
492000,0,2,0.539019,5
493000,0,1,0.0324445,5
494000,0,1,-0.898126,5
495000,0,1,0.154874,5
496000,0,1,0.787041,5
497000,0,1,-0.0654223,5
498000,0,2,-0.0654223,5
499000,1,2,0.232249,5
500000,0,3,-0.19104,5
501000,0,3,0.712366,5
502000,0,3,-0.531232,5
503000,0,2,0.512704,5
504000,1,1,0.512704,5
505000,0,1,2.91027,5
506000,0,1,1.98123,5
507000,0,1,-0.0426768,5
508000,0,1,-0.849846,5
509000,0,1,-0.849846,5
510000,0,1,-0.405588,5
511000,1,1,0.925625,5
512000,0,1,-0.629604,5
513000,0,1,-1.96276,5
514000,0,2,0.757944,5
515000,0,1,-0.923298,5
516000,0,1,2.82864,5
517000,0,1,2.53408,5
518000,0,1,0.31354,5
519000,0,1,1.24093,5
520000,1,1,0.687625,5
521000,0,1,-1.53521,5
522000,2,1,-1.3172,5
523000,0,2,2.2783,5
524000,1,1,3.91991,5
525000,0,1,1.07683,5
526000,1,1,2.91268,5
527000,2,1,1.02236,5
528000,1,1,1.02453,5
529000,2,2,0.581527,5
530000,4,2,-0.59192,5
531000,1,1,-0.0534788,5
532000,0,2,0.0572458,5
533000,0,1,1.55852,5
534000,0,1,1.55852,5
535000,0,1,-0.92318,5
536000,1,1,0.974744,5
537000,0,1,-0.842005,5
538000,0,1,-0.842005,5
539000,0,1,-0.842005,5
540000,0,1,-1.87588,5
541000,0,1,-1.36607,5
542000,0,1,-4.13061,5
543000,1,1,-1.04937,5
544000,0,1,-1.04937,5
545000,0,2,-1.93916,5
546000,1,1,-2.8443,5
547000,0,1,-1.19558,5
548000,0,1,0.880898,5
549000,0,1,-0.196519,5
550000,0,1,-0.196519,5
551000,0,1,-1.86465,5
552000,0,1,-1.55078,5
553000,2,1,-2.37779,5
554000,0,2,-2.70439,5
555000,0,1,-0.788294,5
556000,0,2,-0.833316,5
557000,0,1,0.411683,5
558000,2,1,-2.35793,5
559000,1,2,0.129992,5
560000,0,3,-2.03224,5
561000,0,2,-1.17039,5
562000,2,2,-0.754774,5
563000,1,2,-0.0434466,5
564000,0,1,-0.0434466,5
565000,1,1,2.17505,5
566000,1,1,1.03738,5
567000,0,1,0.453203,5
568000,0,1,0.453203,5
569000,0,2,1.64545,5
570000,1,1,-0.45498,5
571000,0,2,0.829571,5
572000,0,1,-0.475623,5
573000,0,1,2.07748,5
574000,0,1,2.22484,5
575000,0,1,1.78739,5
576000,0,1,0.760711,5
577000,0,1,1.68095,5
578000,0,1,2.9639,5
579000,0,1,1.37765,5
580000,0,1,1.86163,5
581000,0,1,-1.5934,5
582000,0,1,-0.569495,5
583000,1,2,0.984896,5
584000,0,2,2.30923,5
585000,0,1,0.135951,5
586000,0,1,-1.19648,5
587000,0,1,1.13514,5
588000,0,1,1.54446,5
589000,0,1,1.2081,5
590000,0,1,0.833284,5
591000,0,1,0.952031,5
592000,0,1,-0.399648,5
593000,0,1,-0.920068,5
594000,0,1,-0.916803,5
595000,0,1,-0.531905,5
596000,0,1,-1.32907,5
597000,0,1,-1.69972,5
598000,1,1,0.601924,5
599000,0,1,0.279731,5
600000,0,1,-1.2369,5
601000,0,1,-2.20002,5
602000,0,1,0.977832,5
603000,1,1,-0.760869,5
604000,0,3,1.117,5
605000,0,1,0.744504,5
606000,0,1,0.385102,5
607000,0,1,0.421606,5
608000,0,1,1.58788,5
609000,0,1,2.01805,5
610000,0,1,0.821384,5
611000,0,1,0.819798,5
612000,0,1,0.283044,5
613000,0,1,0.283044,5
614000,0,1,1.81397,5
615000,2,1,1.43986,5
616000,0,1,0.744328,5
617000,0,1,1.62616,5
618000,0,1,1.09972,5
619000,0,1,1.41871,5
620000,0,1,1.12992,5
621000,0,1,1.23025,5
622000,0,1,0.173101,5
623000,1,1,1.77046,5
624000,0,1,1.74984,5
625000,0,1,2.56006,5
626000,0,1,2.19999,5
627000,0,1,2.21355,5
628000,0,1,1.17276,5
629000,0,1,2.09703,5
630000,0,1,0.068612,5
631000,0,1,1.69173,5
632000,1,1,-0.470633,5
633000,0,2,-0.470633,5
634000,0,1,-0.037038,5
635000,0,1,-1.53447,5
636000,0,1,-1.25329,5
637000,0,1,-1.25329,5
638000,1,1,-1.28649,5
639000,0,1,-2.01199,5
640000,0,1,-0.53783,5
641000,0,2,0.41797,5
642000,0,2,-0.57428,5
643000,0,1,-0.827317,5
644000,0,2,-1.15505,5
645000,0,1,-1.21007,5
646000,0,1,-1.85889,5
647000,0,1,-0.306137,5
648000,0,1,-1.38461,5
649000,0,1,-2.74935,5
650000,0,1,-1.01684,5
