generation,rateshifts,jumps,rootstate,jumpvariance
220000,1,1,2.82545,0
221000,0,1,0.805566,0
222000,0,1,2.55797,0
223000,0,2,2.55797,0
224000,1,1,3.65116,0
225000,0,1,2.81713,0
226000,2,1,3.92991,0
227000,0,1,-0.112204,0
228000,1,2,0.833188,0
229000,0,1,1.60853,0
230000,0,1,-0.862511,0
231000,1,2,-0.913251,0
232000,1,1,-0.840914,0
233000,0,1,0.708274,0
234000,0,2,0.125719,0
235000,0,1,2.64233,0
236000,0,1,3.82524,0
237000,1,1,3.20425,0
238000,1,1,4.32416,0
239000,0,1,1.87287,0
240000,2,1,1.46847,0
241000,1,2,3.41472,0
242000,0,1,1.40492,0
243000,0,1,3.47717,0
244000,0,1,2.47759,0
245000,2,1,0.695667,0
246000,1,1,0.875289,0
247000,0,1,1.23665,0
248000,0,1,-1.76157,0
249000,0,1,-2.57597,0
250000,1,1,-0.990862,0
251000,1,2,-1.37143,0
252000,1,1,-0.0339096,0
253000,0,1,1.26843,0
254000,0,1,0.340656,0
255000,2,1,2.64946,0
256000,2,1,2.92696,0
257000,1,1,3.75987,0
258000,1,2,3.75987,0
259000,0,1,-0.602129,0
260000,0,1,-1.27791,0
261000,0,1,-1.2599,0
262000,0,1,0.110593,0
263000,1,1,0.52996,0
264000,0,1,0.737683,0
265000,2,1,-1.70084,0
266000,1,1,-1.53425,0
267000,0,1,0.787944,0
268000,2,1,-1.78006,0
269000,1,1,2.85353,0
270000,1,1,3.23039,0
271000,0,1,2.18673,0
272000,0,1,2.5963,0
273000,1,1,4.25573,0
274000,0,1,3.35974,0
275000,0,1,0.95664,0
276000,1,2,2.33424,0
277000,1,2,0.881747,0
278000,0,1,1.38818,0
279000,0,1,1.94869,0
280000,1,1,-2.43412,0
281000,0,2,-4.19365,0
282000,0,1,0.440616,0
283000,0,1,-1.94573,0
284000,0,1,-1.20594,0
285000,1,1,-0.0200686,0
286000,0,1,1.42311,0
287000,2,1,-0.0687979,0
288000,2,1,-0.189627,0
289000,0,1,0.190583,0
290000,0,2,-1.30296,0
291000,0,1,1.06221,0
292000,0,2,-1.24708,0
293000,0,2,-0.186995,0
294000,0,2,0.94413,0
295000,2,3,0.94413,0
296000,2,3,1.86468,0
297000,1,2,2.8795,0
298000,2,2,0.076335,0
299000,0,2,1.73954,0
300000,0,2,1.34134,0
301000,0,3,-1.44248,0
302000,0,1,1.07774,0
303000,0,1,2.07649,0
304000,1,1,1.6308,0
305000,0,1,0.787597,0
306000,0,1,2.97984,0
307000,0,1,1.27172,0
308000,0,1,-1.52371,0
309000,0,1,1.20119,0
310000,0,1,-0.308062,0
311000,0,1,1.55226,0
312000,0,1,0.337842,0
313000,1,1,-1.33266,0
